participant_id,prolific_id,participant_hash,trial_number,item_order,condition,trial_type,valid_response,click_index,click_time,click_time_from_trial_start_ms,click_time_from_tracker_start_ms,click_time_before_response_ms,click_x_px,click_y_px
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,1,6,weak-prime,1,TRUE,1,1788283302696,7184,0,-1271,973,961
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,2,7,weak-prime,2,TRUE,1,1788283311897,7924,0,-1324,967,961
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,3,8,weak-prime,3,TRUE,1,1788283320580,7357,1,-1581,962,959
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,4,9,FALSE,single,TRUE,1,1788283329839,7677,0,-1257,944,962
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,5,10,target-filler,single,TRUE,1,1788283338761,7662,0,-1521,953,962
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,6,11,FALSE,single,TRUE,1,1788283348107,7823,0,-1728,966,965
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,7,12,FALSE,single,TRUE,1,1788283356442,6607,0,-1730,957,957
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,8,13,strong-filler,single,TRUE,1,1788283366172,7999,0,-1696,959,958
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,9,14,FALSE,single,TRUE,1,1788283375900,8030,0,-1272,964,959
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,10,15,TRUE,single,TRUE,1,1788283384829,7655,0,-1171,952,963
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,11,16,FALSE,single,TRUE,1,1788283393001,7000,0,-1456,951,955
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,12,17,TRUE,single,TRUE,1,1788283402199,7740,0,-1272,957,958
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,13,18,FALSE,single,TRUE,1,1788283410446,6973,0,-1569,957,966
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,14,19,FALSE,single,TRUE,1,1788283418747,6731,0,-1748,977,960
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,15,20,FALSE,single,TRUE,1,1788283426906,6409,0,-1383,964,962
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,16,21,weak-prime,1,TRUE,1,1788283436237,7947,0,-1890,967,958
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,17,22,weak-prime,2,TRUE,1,1788283446459,8331,0,-1800,960,957
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,18,23,weak-prime,3,TRUE,1,1788283455629,7369,0,-1616,975,959
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,19,24,weak-filler,single,TRUE,1,1788283464645,7399,0,-967,964,960
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,20,25,weak-filler,single,TRUE,1,1788283473087,7474,1,-2103,963,952
5b9dd07de671c60001226b79,5b9dd07de671c60001226b79,ecca72bbac402419a97a97e492ee7ccc,21,26,target-filler,single,TRUE,1,1788283482347,7155,0,-1070,950,957
