participant_id,prolific_id,participant_hash,trial_number,item_order,condition,trial_type,partner,partner_color,strong_prime_speaker,weak_prime_speaker,other_condition_speaker,strong_prime_color,weak_prime_color,other_condition_color,valid_response,click_index,click_time,click_time_from_trial_start_ms,click_time_from_tracker_start_ms,click_time_before_response_ms,click_x_px,click_y_px
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,1,6,weak-prime,weak-train,Faith,#D55E00,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241284390,6631,1,-2592,904,1080
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,2,7,weak-prime,weak-train,Faith,#D55E00,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241295641,8656,0,-1830,904,1087
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,3,8,strong-prime,strong-train,Hanako,#0072B2,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241306012,8537,1,-1714,916,1086
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,4,9,strong-prime,strong-train,Hanako,#0072B2,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241316251,8522,1,-2063,916,1074
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,5,10,weak-prime,weak-target,Faith,#D55E00,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241327006,8689,1,-2035,906,1078
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,6,11,strong-prime,strong-target,Hanako,#0072B2,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241337040,7997,1,-1659,922,1087
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,7,12,FALSE,single,Devon,#666666,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241346957,8255,0,-1616,909,1078
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,8,13,target-filler,single,Devon,#666666,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241356233,7657,1,-1848,912,1083
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,9,14,strong-prime,strong-train,Hanako,#0072B2,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241366347,8263,1,-1811,905,1082
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,10,15,strong-prime,strong-train,Hanako,#0072B2,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241376431,8269,0,-2167,919,1088
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,11,16,weak-prime,weak-train,Faith,#D55E00,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241386869,8268,0,-1429,919,1084
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,12,17,weak-prime,weak-train,Faith,#D55E00,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241396018,7718,0,-1890,902,1087
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,13,18,strong-prime,strong-target,Hanako,#0072B2,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241406510,8599,1,-1742,928,1075
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,14,19,weak-prime,weak-target,Faith,#D55E00,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241415966,7711,0,-1711,920,1089
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,15,20,FALSE,single,Devon,#666666,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241424590,6910,1,-1735,909,1088
55eb36eb748092000daa9ac8,55eb36eb748092000daa9ac8,cac4f8ec43b87abbe97fba407ef5b61d,16,21,FALSE,single,Devon,#666666,Hanako,Faith,Devon,#0072B2,#D55E00,#666666,TRUE,1,1789241433470,7142,0,-1444,906,1078
